course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,text_profile
Corporate Finance Essentials,IESE Business School,COURSE,4.8,Mixed,56k,"Corporate Finance Essentials by IESE Business School, Mixed level, COURSE"
Corporate Strategy,UCL School of Management,COURSE,4.8,Beginner,7.8k,"Corporate Strategy by UCL School of Management, Beginner level, COURSE"
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,COURSE,4.6,Mixed,10k,"Corporate Sustainability. Understanding and Seizing the Strategic Opportunity by Università Bocconi, Mixed level, COURSE"
"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,75k,"Corrección, estilo y  variaciones de la lengua española by Universitat Autònoma de Barcelona, Beginner level, COURSE"
Cost and Economics in Pricing Strategy,University of Virginia,COURSE,4.8,Beginner,15k,"Cost and Economics in Pricing Strategy by University of Virginia, Beginner level, COURSE"
Costos para los Negocios,Universidad de Chile,COURSE,4.8,Intermediate,43k,"Costos para los Negocios by Universidad de Chile, Intermediate level, COURSE"
Crash Course on Python,Google,COURSE,4.8,Beginner,81k,"Crash Course on Python by Google, Beginner level, COURSE"
Creative Problem Solving,University of Minnesota,COURSE,4.3,Mixed,140k,"Creative Problem Solving by University of Minnesota, Mixed level, COURSE"
Creative Writing,Wesleyan University,SPECIALIZATION,4.6,Beginner,140k,"Creative Writing by Wesleyan University, Beginner level, SPECIALIZATION"
Creative Writing: The Craft of Plot,Wesleyan University,COURSE,4.7,Mixed,120k,"Creative Writing: The Craft of Plot by Wesleyan University, Mixed level, COURSE"
"Creatividad, diseño e innovación: Técnicas y herramientas",Arizona State University,SPECIALIZATION,4.7,Beginner,150k,"Creatividad, diseño e innovación: Técnicas y herramientas by Arizona State University, Beginner level, SPECIALIZATION"
Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,COURSE,4.8,Intermediate,26k,"Cuidado de heridas en el ámbito hospitalario by Universidad Nacional Autónoma de México, Intermediate level, COURSE"
Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,COURSE,4.8,Intermediate,22k,"Cuidados y procedimientos generales en la atención del recién nacido by Universidad de Chile, Intermediate level, COURSE"
Culture-Driven Team Building,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,17k,"Culture-Driven Team Building by University of Pennsylvania, Beginner level, SPECIALIZATION"
Curanderismo: Traditional Healing Using Plants,University of New Mexico,COURSE,4.6,Beginner,5.5k,"Curanderismo: Traditional Healing Using Plants by University of New Mexico, Beginner level, COURSE"
Customer Segmentation and Prospecting,Northwestern University,COURSE,4.7,Beginner,18k,"Customer Segmentation and Prospecting by Northwestern University, Beginner level, COURSE"
Cybersecurity,"University of Maryland, College Park",SPECIALIZATION,4.5,Intermediate,99k,"Cybersecurity by University of Maryland, College Park, Intermediate level, SPECIALIZATION"
Cybersecurity and Its Ten Domains,University System of Georgia,COURSE,4.2,Beginner,140k,"Cybersecurity and Its Ten Domains by University System of Georgia, Beginner level, COURSE"
Cybersecurity for Business,University of Colorado System,SPECIALIZATION,4.6,Beginner,23k,"Cybersecurity for Business by University of Colorado System, Beginner level, SPECIALIZATION"
Cómo hablar bien en público,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,55k,"Cómo hablar bien en público by Universitat Autònoma de Barcelona, Beginner level, COURSE"
Dairy Production and Management,The Pennsylvania State University,COURSE,4.8,Mixed,23k,"Dairy Production and Management by The Pennsylvania State University, Mixed level, COURSE"
Data Analysis and Interpretation,Wesleyan University,SPECIALIZATION,4.4,Beginner,100k,"Data Analysis and Interpretation by Wesleyan University, Beginner level, SPECIALIZATION"
Data Analysis and Presentation Skills: the PwC Approach,PwC,SPECIALIZATION,4.6,Beginner,220k,"Data Analysis and Presentation Skills: the PwC Approach by PwC, Beginner level, SPECIALIZATION"
Data Analysis with Python,IBM,COURSE,4.7,Beginner,110k,"Data Analysis with Python by IBM, Beginner level, COURSE"
Data Analytics for Lean Six Sigma,University of Amsterdam,COURSE,4.8,Beginner,24k,"Data Analytics for Lean Six Sigma by University of Amsterdam, Beginner level, COURSE"
Data Collection and Processing with Python,University of Michigan,COURSE,4.7,Intermediate,19k,"Data Collection and Processing with Python by University of Michigan, Intermediate level, COURSE"
Data Engineering on Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.4,Intermediate,3k,"Data Engineering on Google Cloud Platform 日本語版 by Google Cloud, Intermediate level, SPECIALIZATION"
Data Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,Intermediate,120k,"Data Engineering with Google Cloud by Google Cloud, Intermediate level, PROFESSIONAL CERTIFICATE"
"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,SPECIALIZATION,4.6,Intermediate,120k,"Data Engineering, Big Data, and Machine Learning on GCP by Google Cloud, Intermediate level, SPECIALIZATION"
Data Management for Clinical Research,Vanderbilt University,COURSE,4.7,Beginner,42k,"Data Management for Clinical Research by Vanderbilt University, Beginner level, COURSE"
Data Mining,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,140k,"Data Mining by University of Illinois at Urbana-Champaign, Intermediate level, SPECIALIZATION"
Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,830k,"Data Science by Johns Hopkins University, Beginner level, SPECIALIZATION"
Data Science Math Skills,Duke University,COURSE,4.5,Beginner,140k,"Data Science Math Skills by Duke University, Beginner level, COURSE"
Data Science Methodology,IBM,COURSE,4.6,Beginner,89k,"Data Science Methodology by IBM, Beginner level, COURSE"
Data Science: Foundations using R,Johns Hopkins University,SPECIALIZATION,4.6,Beginner,740k,"Data Science: Foundations using R by Johns Hopkins University, Beginner level, SPECIALIZATION"
Data Science: Statistics and Machine Learning,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,210k,"Data Science: Statistics and Machine Learning by Johns Hopkins University, Intermediate level, SPECIALIZATION"
Data Visualization and Communication with Tableau,Duke University,COURSE,4.7,Mixed,130k,"Data Visualization and Communication with Tableau by Duke University, Mixed level, COURSE"
Data Visualization with Advanced Excel,PwC,COURSE,4.8,Beginner,60k,"Data Visualization with Advanced Excel by PwC, Beginner level, COURSE"
Data Visualization with Python,IBM,COURSE,4.6,Intermediate,66k,"Data Visualization with Python by IBM, Intermediate level, COURSE"
Data Visualization with Tableau,"University of California, Davis",SPECIALIZATION,4.5,Beginner,96k,"Data Visualization with Tableau by University of California, Davis, Beginner level, SPECIALIZATION"
Data Warehousing for Business Intelligence,University of Colorado System,SPECIALIZATION,4.5,Advanced,140k,"Data Warehousing for Business Intelligence by University of Colorado System, Advanced level, SPECIALIZATION"
Data and Health Indicators in Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,18k,"Data and Health Indicators in Public Health Practice by Johns Hopkins University, Beginner level, COURSE"
Data-driven Decision Making,PwC,COURSE,4.6,Beginner,120k,"Data-driven Decision Making by PwC, Beginner level, COURSE"
Databases and SQL for Data Science,IBM,COURSE,4.7,Beginner,110k,"Databases and SQL for Data Science by IBM, Beginner level, COURSE"
De-Mystifying Mindfulness,Universiteit Leiden,COURSE,4.8,Beginner,150k,"De-Mystifying Mindfulness by Universiteit Leiden, Beginner level, COURSE"
Decision-Making and Scenarios,University of Pennsylvania,COURSE,4.6,Mixed,31k,"Decision-Making and Scenarios by University of Pennsylvania, Mixed level, COURSE"
Deep Learning,deeplearning.ai,SPECIALIZATION,4.8,Intermediate,690k,"Deep Learning by deeplearning.ai, Intermediate level, SPECIALIZATION"
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,44k,"Democracia y decisiones públicas. Introducción al análisis de políticas públicas by Universitat Autònoma de Barcelona, Beginner level, COURSE"
Dentistry 101,University of Michigan,COURSE,4.7,Beginner,4.5k,"Dentistry 101 by University of Michigan, Beginner level, COURSE"
Dermatology: Trip to skin,Novosibirsk State University ,COURSE,4.4,Beginner,8.2k,"Dermatology: Trip to skin by Novosibirsk State University , Beginner level, COURSE"
Design Thinking for Innovation,University of Virginia,COURSE,4.6,Beginner,240k,"Design Thinking for Innovation by University of Virginia, Beginner level, COURSE"
Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,COURSE,4.6,Beginner,17k,"Design Thinking for the Greater Good: Innovation in the Social Sector by University of Virginia, Beginner level, COURSE"
Design and Interpretation of Clinical Trials,Johns Hopkins University,COURSE,4.7,Mixed,67k,"Design and Interpretation of Clinical Trials by Johns Hopkins University, Mixed level, COURSE"
Design and Make Infographics (Project-Centered Course),Michigan State University,COURSE,4.7,Mixed,97k,"Design and Make Infographics (Project-Centered Course) by Michigan State University, Mixed level, COURSE"
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,COURSE,4.6,Intermediate,19k,"Design-Led Strategy: Design thinking for business strategy and entrepreneurship by The University of Sydney, Intermediate level, COURSE"
Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,SPECIALIZATION,4.6,Intermediate,16k,"Developing APIs with Google Cloud's Apigee API Platform by Google Cloud, Intermediate level, SPECIALIZATION"
Developing Applications with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,300k,"Developing Applications with Google Cloud Platform by Google Cloud, Intermediate level, SPECIALIZATION"
Developing Applications with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.8,Intermediate,4k,"Developing Applications with Google Cloud Platform 日本語版 by Google Cloud, Intermediate level, SPECIALIZATION"
Developing Industrial Internet of Things,University of Colorado Boulder,SPECIALIZATION,4.6,Intermediate,8k,"Developing Industrial Internet of Things by University of Colorado Boulder, Intermediate level, SPECIALIZATION"
Developing Your Musicianship,Berklee College of Music,COURSE,4.8,Mixed,41k,"Developing Your Musicianship by Berklee College of Music, Mixed level, COURSE"
Developing Your Musicianship,Berklee College of Music,SPECIALIZATION,4.8,Beginner,54k,"Developing Your Musicianship by Berklee College of Music, Beginner level, SPECIALIZATION"
Devenir entrepreneur du changement,Ticket for Change,COURSE,4.7,Mixed,54k,"Devenir entrepreneur du changement by Ticket for Change, Mixed level, COURSE"
Digital Advertising Strategy,University of Colorado Boulder,SPECIALIZATION,4.4,Beginner,9k,"Digital Advertising Strategy by University of Colorado Boulder, Beginner level, SPECIALIZATION"
Digital Business Models,Lund University,COURSE,4.5,Beginner,21k,"Digital Business Models by Lund University, Beginner level, COURSE"
Digital Manufacturing & Design Technology,University at Buffalo,SPECIALIZATION,4.6,Beginner,37k,"Digital Manufacturing & Design Technology by University at Buffalo, Beginner level, SPECIALIZATION"
Digital Marketing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,380k,"Digital Marketing by University of Illinois at Urbana-Champaign, Beginner level, SPECIALIZATION"
Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,COURSE,4.4,Mixed,57k,"Digital Media and Marketing Strategies by University of Illinois at Urbana-Champaign, Mixed level, COURSE"
Digital Product Management,University of Virginia,SPECIALIZATION,4.7,Beginner,140k,"Digital Product Management by University of Virginia, Beginner level, SPECIALIZATION"
Digital Product Management: Modern Fundamentals,University of Virginia,COURSE,4.7,Beginner,58k,"Digital Product Management: Modern Fundamentals by University of Virginia, Beginner level, COURSE"
Dino 101: Dinosaur Paleobiology,University of Alberta,COURSE,4.5,Beginner,35k,"Dino 101: Dinosaur Paleobiology by University of Alberta, Beginner level, COURSE"
Discrete Optimization,The University of Melbourne,COURSE,4.9,Intermediate,40k,"Discrete Optimization by The University of Melbourne, Intermediate level, COURSE"
Diseño Instruccional: Aprendizaje activo y Pedagogía digital,Tecnológico de Monterrey,SPECIALIZATION,4.6,Beginner,4k,"Diseño Instruccional: Aprendizaje activo y Pedagogía digital by Tecnológico de Monterrey, Beginner level, SPECIALIZATION"
Diseño y Creación de un Emprendimiento Social,Pontificia Universidad Católica de Chile,COURSE,4.9,Beginner,21k,"Diseño y Creación de un Emprendimiento Social by Pontificia Universidad Católica de Chile, Beginner level, COURSE"
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,COURSE,4.8,Intermediate,130k,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms by Stanford University, Intermediate level, COURSE"
Dog Emotion and Cognition,Duke University,COURSE,4.6,Mixed,150k,"Dog Emotion and Cognition by Duke University, Mixed level, COURSE"
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,COURSE,4.8,Beginner,5.6k,"Driving business towards the Sustainable Development Goals by Erasmus University Rotterdam, Beginner level, COURSE"
Drug Commercialization,University of California San Diego,COURSE,4.7,Beginner,17k,"Drug Commercialization by University of California San Diego, Beginner level, COURSE"
Drug Discovery,University of California San Diego,COURSE,4.6,Beginner,39k,"Drug Discovery by University of California San Diego, Beginner level, COURSE"
Dynamic Public Speaking,University of Washington,SPECIALIZATION,4.7,Beginner,110k,"Dynamic Public Speaking by University of Washington, Beginner level, SPECIALIZATION"
EMT Foundations,University of Colorado System,COURSE,4.8,Beginner,7.1k,"EMT Foundations by University of Colorado System, Beginner level, COURSE"
Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,COURSE,4.8,Intermediate,18k,"Ecology: Ecosystem Dynamics and Conservation by American Museum of Natural History, Intermediate level, COURSE"
Econometrics: Methods and Applications,Erasmus University Rotterdam,COURSE,4.7,Mixed,110k,"Econometrics: Methods and Applications by Erasmus University Rotterdam, Mixed level, COURSE"
Economics of Money and Banking,Columbia University,COURSE,4.9,Mixed,83k,"Economics of Money and Banking by Columbia University, Mixed level, COURSE"
Ecosystem Services: a Method for Sustainable Development,University of Geneva,COURSE,4.7,Intermediate,16k,"Ecosystem Services: a Method for Sustainable Development by University of Geneva, Intermediate level, COURSE"
Effective Compliance Programs,University of Pennsylvania,COURSE,4.9,Mixed,3.4k,"Effective Compliance Programs by University of Pennsylvania, Mixed level, COURSE"
Egiptología (Egyptology),Universitat Autònoma de Barcelona,COURSE,4.9,Beginner,46k,"Egiptología (Egyptology) by Universitat Autònoma de Barcelona, Beginner level, COURSE"
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,COURSE,5.0,Beginner,1.5k,"El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho by Universidad Austral, Beginner level, COURSE"
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,COURSE,4.7,Intermediate,57k,"Elastic Google Cloud Infrastructure: Scaling and Automation by Google Cloud, Intermediate level, COURSE"
Electric Industry Operations and Markets,Duke University,COURSE,4.8,Beginner,12k,"Electric Industry Operations and Markets by Duke University, Beginner level, COURSE"
Electronic Music Production,Berklee College of Music,SPECIALIZATION,4.8,Intermediate,110k,"Electronic Music Production by Berklee College of Music, Intermediate level, SPECIALIZATION"
Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,SPECIALIZATION,4.6,Beginner,17k,"Emerging Technologies: From Smartphones to IoT to Big Data by Yonsei University, Beginner level, SPECIALIZATION"
"Energy Production, Distribution & Safety",University at Buffalo,SPECIALIZATION,4.7,Beginner,37k,"Energy Production, Distribution & Safety by University at Buffalo, Beginner level, SPECIALIZATION"
Engineering Health: Introduction to Yoga and Physiology,New York University,COURSE,4.8,Beginner,14k,"Engineering Health: Introduction to Yoga and Physiology by New York University, Beginner level, COURSE"
Engineering Project Management: Initiating and Planning,Rice University,COURSE,4.7,Beginner,23k,"Engineering Project Management: Initiating and Planning by Rice University, Beginner level, COURSE"
English Composition I,Duke University,COURSE,4.6,Beginner,200k,"English Composition I by Duke University, Beginner level, COURSE"
English for Business and Entrepreneurship,University of Pennsylvania,COURSE,4.8,Beginner,230k,"English for Business and Entrepreneurship by University of Pennsylvania, Beginner level, COURSE"
English for Career Development,University of Pennsylvania,COURSE,4.8,Mixed,760k,"English for Career Development by University of Pennsylvania, Mixed level, COURSE"
English for Journalism,University of Pennsylvania,COURSE,4.8,Mixed,130k,"English for Journalism by University of Pennsylvania, Mixed level, COURSE"
English for Research Publication Purposes,Moscow Institute of Physics and Technology,SPECIALIZATION,4.6,Intermediate,42k,"English for Research Publication Purposes by Moscow Institute of Physics and Technology, Intermediate level, SPECIALIZATION"
"English for Science, Technology, Engineering, and Mathematics",University of Pennsylvania,COURSE,4.8,Beginner,110k,"English for Science, Technology, Engineering, and Mathematics by University of Pennsylvania, Beginner level, COURSE"
Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,COURSE,4.4,Beginner,2.4k,"Enterprise Architecture by Peter the Great St. Petersburg Polytechnic University, Beginner level, COURSE"
Entrepreneurial Finance: Strategy and Innovation,Duke University,SPECIALIZATION,4.5,Intermediate,7.9k,"Entrepreneurial Finance: Strategy and Innovation by Duke University, Intermediate level, SPECIALIZATION"
Entrepreneurship,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,110k,"Entrepreneurship by University of Pennsylvania, Beginner level, SPECIALIZATION"
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,COURSE,4.8,Mixed,86k,"Entrepreneurship 1: Developing the Opportunity by University of Pennsylvania, Mixed level, COURSE"
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,COURSE,4.8,Mixed,38k,"Entrepreneurship 2: Launching your Start-Up by University of Pennsylvania, Mixed level, COURSE"
Entrepreneurship 3: Growth Strategies,University of Pennsylvania,COURSE,4.7,Beginner,31k,"Entrepreneurship 3: Growth Strategies by University of Pennsylvania, Beginner level, COURSE"
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,COURSE,4.8,Beginner,20k,"Entrepreneurship Strategy: From Ideation to Exit by HEC Paris, Beginner level, COURSE"
Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",SPECIALIZATION,4.6,Beginner,69k,"Entrepreneurship: Launching an Innovative Business by University of Maryland, College Park, Beginner level, SPECIALIZATION"
Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,COURSE,4.8,Mixed,45k,"Epidemics - the Dynamics of Infectious Diseases by The Pennsylvania State University, Mixed level, COURSE"
"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,COURSE,4.7,Mixed,23k,"Epidemics, Pandemics and Outbreaks by University of Pittsburgh, Mixed level, COURSE"
Epidemiology for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,6.4k,"Epidemiology for Public Health by Imperial College London, Beginner level, SPECIALIZATION"
Epidemiology in Public Health Practice,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31k,"Epidemiology in Public Health Practice by Johns Hopkins University, Beginner level, SPECIALIZATION"
Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,COURSE,4.6,Mixed,130k,"Epidemiology: The Basic Science of Public Health by The University of North Carolina at Chapel Hill, Mixed level, COURSE"
Epigenetic Control of Gene Expression,The University of Melbourne,COURSE,4.8,Mixed,35k,"Epigenetic Control of Gene Expression by The University of Melbourne, Mixed level, COURSE"
Equine Welfare and Management,"University of California, Davis",COURSE,4.8,Beginner,7.2k,"Equine Welfare and Management by University of California, Davis, Beginner level, COURSE"
Esports,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,1.8k,"Esports by University of California, Irvine, Beginner level, SPECIALIZATION"
Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,14k,"Essential Epidemiologic Tools for Public Health Practice by Johns Hopkins University, Beginner level, COURSE"
Essential Google Cloud Infrastructure: Core Services,Google Cloud,COURSE,4.7,Intermediate,68k,"Essential Google Cloud Infrastructure: Core Services by Google Cloud, Intermediate level, COURSE"
Essential Google Cloud Infrastructure: Foundation,Google Cloud,COURSE,4.7,Intermediate,83k,"Essential Google Cloud Infrastructure: Foundation by Google Cloud, Intermediate level, COURSE"
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,COURSE,4.8,Intermediate,4.1k,"Essentials in Clinical Simulations Across the Health Professions by The George Washington University, Intermediate level, COURSE"
Essentials of Corporate Finance,The University of Melbourne,SPECIALIZATION,4.6,Intermediate,54k,"Essentials of Corporate Finance by The University of Melbourne, Intermediate level, SPECIALIZATION"
Essentials of Global Health,Yale University,COURSE,4.8,Mixed,31k,"Essentials of Global Health by Yale University, Mixed level, COURSE"
Estadística y probabilidad,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,27k,"Estadística y probabilidad by Universidad Nacional Autónoma de México, Beginner level, COURSE"
Evaluación educativa,Universidad Nacional Autónoma de México,SPECIALIZATION,4.8,Beginner,13k,"Evaluación educativa by Universidad Nacional Autónoma de México, Beginner level, SPECIALIZATION"
"Everyday Excel, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,11k,"Everyday Excel, Part 1 by University of Colorado Boulder, Beginner level, COURSE"
Everyday Parenting: The ABCs of Child Rearing,Yale University,COURSE,4.9,Beginner,86k,"Everyday Parenting: The ABCs of Child Rearing by Yale University, Beginner level, COURSE"
Excel Skills for Business,Macquarie University,SPECIALIZATION,4.9,Beginner,240k,"Excel Skills for Business by Macquarie University, Beginner level, SPECIALIZATION"
Excel Skills for Business: Advanced,Macquarie University,COURSE,4.7,Intermediate,39k,"Excel Skills for Business: Advanced by Macquarie University, Intermediate level, COURSE"
Excel Skills for Business: Essentials,Macquarie University,COURSE,4.9,Beginner,200k,"Excel Skills for Business: Essentials by Macquarie University, Beginner level, COURSE"
Excel Skills for Business: Intermediate I,Macquarie University,COURSE,4.9,Intermediate,76k,"Excel Skills for Business: Intermediate I by Macquarie University, Intermediate level, COURSE"
Excel Skills for Business: Intermediate II,Macquarie University,COURSE,4.8,Intermediate,39k,"Excel Skills for Business: Intermediate II by Macquarie University, Intermediate level, COURSE"
Excel to MySQL: Analytic Techniques for Business,Duke University,SPECIALIZATION,4.6,Beginner,490k,"Excel to MySQL: Analytic Techniques for Business by Duke University, Beginner level, SPECIALIZATION"
Excel/VBA for Creative Problem Solving,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,56k,"Excel/VBA for Creative Problem Solving by University of Colorado Boulder, Beginner level, SPECIALIZATION"
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,54k,"Excel/VBA for Creative Problem Solving, Part 1 by University of Colorado Boulder, Beginner level, COURSE"
Executive Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,170k,"Executive Data Science by Johns Hopkins University, Beginner level, SPECIALIZATION"
Explorando la Energía Sustentable,Pontificia Universidad Católica de Chile,COURSE,4.8,Beginner,28k,"Explorando la Energía Sustentable by Pontificia Universidad Católica de Chile, Beginner level, COURSE"
Fashion as Design,The Museum of Modern Art,COURSE,4.8,Beginner,180k,"Fashion as Design by The Museum of Modern Art, Beginner level, COURSE"
Feminism and Social Justice,"University of California, Santa Cruz",COURSE,4.8,Beginner,18k,"Feminism and Social Justice by University of California, Santa Cruz, Beginner level, COURSE"
FinTech Law and Policy,Duke University,COURSE,4.8,Beginner,9.7k,"FinTech Law and Policy by Duke University, Beginner level, COURSE"
FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,SPECIALIZATION,4.6,Beginner,13k,"FinTech: Finance Industry Transformation and Regulation by The Hong Kong University of Science and Technology, Beginner level, SPECIALIZATION"
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,COURSE,4.7,Beginner,12k,"FinTech: Foundations, Payments, and Regulations by University of Pennsylvania, Beginner level, COURSE"
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,260k,"Finance & Quantitative Modeling for Analysts by University of Pennsylvania, Beginner level, SPECIALIZATION"
Finance for Non-Finance Professionals,Rice University,COURSE,4.8,Beginner,69k,"Finance for Non-Finance Professionals by Rice University, Beginner level, COURSE"
Finance for Non-Financial Managers,Emory University,COURSE,4.4,Intermediate,12k,"Finance for Non-Financial Managers by Emory University, Intermediate level, COURSE"
Financial Accounting Fundamentals,University of Virginia,COURSE,4.8,Beginner,65k,"Financial Accounting Fundamentals by University of Virginia, Beginner level, COURSE"
Financial Acumen for Non-Financial Managers,University of Pennsylvania,COURSE,4.5,Beginner,10k,"Financial Acumen for Non-Financial Managers by University of Pennsylvania, Beginner level, COURSE"
Financial Engineering and Risk Management Part I,Columbia University,COURSE,4.6,Mixed,100k,"Financial Engineering and Risk Management Part I by Columbia University, Mixed level, COURSE"
Financial Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,76k,"Financial Management by University of Illinois at Urbana-Champaign, Intermediate level, SPECIALIZATION"
Financial Markets,Yale University,COURSE,4.8,Beginner,470k,"Financial Markets by Yale University, Beginner level, COURSE"
Financial Markets and Investment Strategy,Indian School of Business,SPECIALIZATION,4.5,Beginner,60k,"Financial Markets and Investment Strategy by Indian School of Business, Beginner level, SPECIALIZATION"
Financial Reporting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12k,"Financial Reporting by University of Illinois at Urbana-Champaign, Intermediate level, SPECIALIZATION"
Financial Technology (Fintech) Innovations,University of Michigan,SPECIALIZATION,4.7,Beginner,6.5k,"Financial Technology (Fintech) Innovations by University of Michigan, Beginner level, SPECIALIZATION"
Financing and Investing in Infrastructure,Università Bocconi,COURSE,4.8,Mixed,24k,"Financing and Investing in Infrastructure by Università Bocconi, Mixed level, COURSE"
Finanzas corporativas,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Intermediate,30k,"Finanzas corporativas by Universidad Nacional Autónoma de México, Intermediate level, SPECIALIZATION"
Finanzas personales,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,310k,"Finanzas personales by Universidad Nacional Autónoma de México, Mixed level, COURSE"
Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,COURSE,4.7,Beginner,36k,"Finding Purpose and Meaning In Life: Living for What Matters Most by University of Michigan, Beginner level, COURSE"
Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,20k,"Fintech: Foundations & Applications of Financial Technology by University of Pennsylvania, Beginner level, SPECIALIZATION"
First Step Korean,Yonsei University,COURSE,4.9,Beginner,400k,"First Step Korean by Yonsei University, Beginner level, COURSE"
Food & Beverage Management,Università Bocconi,COURSE,4.8,Mixed,57k,"Food & Beverage Management by Università Bocconi, Mixed level, COURSE"
Forensic Accounting and Fraud Examination,West Virginia University,COURSE,4.7,Mixed,42k,"Forensic Accounting and Fraud Examination by West Virginia University, Mixed level, COURSE"
Formulación y evaluación de proyectos complejos,Universidad de los Andes,COURSE,4.9,Intermediate,4.4k,"Formulación y evaluación de proyectos complejos by Universidad de los Andes, Intermediate level, COURSE"
Foundational Finance for Strategic Decision Making,University of Michigan,SPECIALIZATION,4.8,Beginner,14k,"Foundational Finance for Strategic Decision Making by University of Michigan, Beginner level, SPECIALIZATION"
Foundations of Business Strategy,University of Virginia,COURSE,4.8,Beginner,63k,"Foundations of Business Strategy by University of Virginia, Beginner level, COURSE"
Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,62k,"Foundations of Everyday Leadership by University of Illinois at Urbana-Champaign, Mixed level, COURSE"
Foundations of Global Health,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31k,"Foundations of Global Health by Johns Hopkins University, Beginner level, SPECIALIZATION"
Foundations of Management,IESE Business School,SPECIALIZATION,4.8,Beginner,64k,"Foundations of Management by IESE Business School, Beginner level, SPECIALIZATION"
Foundations of Marketing Analytics,Emory University,SPECIALIZATION,4.2,Intermediate,27k,"Foundations of Marketing Analytics by Emory University, Intermediate level, SPECIALIZATION"
Foundations of Positive Psychology,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,89k,"Foundations of Positive Psychology by University of Pennsylvania, Beginner level, SPECIALIZATION"
Foundations of Public Health Practice,Imperial College London,SPECIALIZATION,4.8,Beginner,3.2k,"Foundations of Public Health Practice by Imperial College London, Beginner level, SPECIALIZATION"
